Estimate,Date,Customer Tags,City,Zip,Description,Amount,Labor,Materials,Subtotal,Job Tags,Job Status,Bid Employee,Crew,Job Type
9684,5/18/2020 9:30,,Aurora,80016,Garage Walls and Ceiling,3465,2500,965,3465,My Website,Awaiting Approval,1,,
9683,5/18/2020 13:30,Referral,Centennial,80015,Exterior Residential Painting - Exterior Preparation,4490,3790,1000,4790,My Website,Awaiting Approval,1,,
9663,5/18/2020 12:00,"google,no review",Centennial,80015,Exterior Residential Painting - Exterior Preparation,3990,3255,1035,4290,,approved,1,,
9664,5/18/2020 15:00,google,Aurora,80011,Exterior Residential Painting - Exterior Preparation,2960,2430,830,3260,,Awaiting Approval,1,,
9665,5/18/2020 10:00,Erik,Westminster,80021,Interior Painting - Dining Room,1840,1350,490,1840,,approved,2,,
9666,5/19/2020 13:00,google,Denver,80231,Interior Paint,595,415,180,595,,approved,1,,
9667,5/18/2020 14:30,Residential,Littleton,80129,Exterior Residential Painting - Exterior Preparation,4740,3790,950,4740,,approved,2,,
9668-1,5/19/2020 14:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5690,4600,1440,6040,"Exterior,Stapleton,2020",approved,1,,
9671-2,5/13/2020 15:30,,Aurora,80016,Kitchen Cabinets - Cabinet Preparation,3920,3340,580,3920,,declined,1,,
9672-2,5/13/2020 13:00,,Highlands Ranch,80130,Cabinets - Cabinet Preparation,1245,975,270,1245,,Awaiting Approval,2,,
9673,5/19/2020 10:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5490,4790,1100,5890,,approved,1,,
9682-1,5/18/2020 15:30,,Littleton,80123,Replace all baseboards,12990,11750,1240,12990,My Website,Awaiting Approval,2,,
9674,5/16/2020 10:00,"BNI,Property Manager,Jim Shonts",Aurora,80013,Interior Walls,1900,1460,440,1900,,Awaiting Approval,1,,
9681,5/18/2020 15:30,,Highlands Ranch,80130,Wood Replacement/Installation,990,810,180,990,My Website,Awaiting Approval,2,,
9688,5/19/2020 15:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4890,4065,1075,5140,My Website,approved,1,,
9690,5/19/2020 17:00,,AURORA,80015,Exterior Residential Painting - Exterior Preparation,4985,4215,1070,5285,My Website,approved,1,,
9694,5/20/2020 8:30,,80007,80007,Exterior Residential Painting - Exterior Preparation,10740,7670,3070,10740,My Website,approved,2,,
9697-1,5/20/2020 17:00,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,5415,4595,1170,5765,My Website,approved,1,,
9677,5/21/2020 14:00,Residential,Centennial,80122,Exterior touch-ups,845,645,200,845,,approved,2,,
9678,5/26/2020 16:30,,Morrison,80465,Exterior Residential Painting - Exterior Preparation,3490,2640,850,3490,,Awaiting Approval,2,,
9696-1,5/22/2020 15:30,no review,Denver,80238,Exterior Residential Painting - Exterior Preparation,4840,4070,1070,5140,My Website,approved,1,,
9679,5/21/2020 9:30,Referral,Parker,80138,"Painting quotes - Free interior consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,SCHEDULED,1,,
9680,,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4390,3620,1070,4690,,approved,,,
9708,5/22/2020 14:30,,Timnath,80547,Exterior Residential Painting - Exterior Preparation,3480,2885,995,3880,My Website,approved,1,,
9707,5/22/2020 14:30,,Timnath,80547,Exterior Residential Painting - Exterior Preparation,3855,3185,1070,4255,My Website,approved,1,,
9706-1,5/22/2020 11:30,,Parker,80134,Exterior Residential Painting - Exterior Preparation,3995,3285,960,4245,My Website,Awaiting Approval,1,,
9668-2,5/19/2020 14:30,,Denver,80238,Pergola Prep,1815,1815,0,1815,,declined,1,,
9695,5/22/2020 10:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5870,4755,1465,6220,My Website,Awaiting Approval,1,,
9686,5/26/2020 11:00,Facebook,Aurora,80016,Garage Walls and Ceiling,6330,6330,0,6330,,Awaiting Approval,1,,
9687,5/20/2020 15:00,,Parker,80134,Kitchen Cabinets - Cabinet Preparation,2795,2730,365,3095,,declined,1,,
9705,5/22/2020 12:30,,Aurora,80016,Main Area Walls 2 Coats,2765,2150,615,2765,My Website,Awaiting Approval,1,,
9689,5/22/2020 8:00,,Littleton,80129,Interior Painting,305,290,15,305,My Website,approved,2,,
9691,5/27/2020 11:00,,Centennial,80015,Deck and Stair Prep,2600,2600,0,2600,Deck Staining,approved,1,,
9692,5/26/2020 17:30,google,Aurora,80017,Exterior Residential Painting - Exterior Preparation,3235,2615,870,3485,,Awaiting Approval,1,,
9693-1,5/26/2020 9:00,Referral,Parker,80134,Exterior Residential Painting - Exterior Preparation,4190,3395,995,4390,,approved,1,,
9720,5/27/2020 9:30,,Parker,80134,Exterior Residential Painting - Exterior Preparation,3895,3070,1075,4145,My Website,Awaiting Approval,1,,
9696-2,5/22/2020 15:30,no review,Denver,80238,Side Deck Railing,415,415,0,415,,pro approved,1,,
9696-3,5/22/2020 15:30,no review,Denver,80238,Gutters and Downspouts,485,485,0,485,,pro approved,1,,
9697-2,5/20/2020 17:00,,Aurora,80015,New Gutters and Downspouts,1500,1500,0,1500,,declined,1,,
9698,5/28/2020 9:00,Referral,Parker,80134,"Exterior Shutters, Radon, Concrete and Pergola ",1080,915,165,1080,,approved,1,,
9699,5/28/2020 12:00,,Denver,80220,Exterior Painted Surfaces,10965,9760,1205,10965,,Awaiting Approval,1,,
9700,5/26/2020 14:00,google,Lone Tree,80124,Stain back deck,640,460,180,640,,Awaiting Approval,2,,
9701,5/28/2020 11:00,Google lead,Aurora,80012,Exterior Residential Painting - Exterior Preparation,3360,2665,995,3660,,approved,1,,
9702,5/26/2020 12:00,google,Littleton,80130,Replace fascia board behind gutter on upper corner above front door,405,300,105,405,,Awaiting Approval,2,,
9733,6/1/2020 11:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5220,4160,1060,5220,My Website,Awaiting Approval,2,,
9704,5/27/2020 10:00,,Arvada,80005,Exterior Residential Painting - Exterior Preparation,3985,2955,1030,3985,,approved,2,,
9721-1,5/27/2020 14:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,3955,3110,1095,4205,My Website,approved,1,,
9718,5/26/2020 13:00,,Parker,80134,Exterior Residential Painting - Exterior Preparation,4430,3335,1095,4430,My Website,Awaiting Approval,1,,
9682-2,5/18/2020 15:30,,Littleton,80123,,0,0,0,0,,SCHEDULED,2,,
9706-2,5/22/2020 11:30,,Parker,80134,Main Level Walls - 2 Coats,6535,5905,880,6785,,Awaiting Approval,1,,
9709,,,Aurora,80016,Master Bedroom-2 Coats,1855,1495,360,1855,,approved,,,
9710,5/28/2020 14:00,Referral,Parker,80138,Master Bedroom,1395,1030,365,1395,Residential,approved,1,,
9727,5/27/2020 17:00,no review,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4995,4120,1125,5245,My Website,approved,1,,
9728,5/29/2020 11:30,"Family,Repeat,Castle Rock,80104",Castle Rock,80104,Exterior Residential Painting - Exterior Preparation,4000,3290,1060,4350,My Website,pro approved,1,,
9711,5/28/2020 13:00,,Denver,80238,Pergola-2 Coats,1785,1445,340,1785,,Awaiting Approval,1,,
9725,5/28/2020 15:30,,Highlands Ranch,80129,Exterior Residential Painting - Exterior Preparation,4920,3990,930,4920,My Website,approved,2,,
9712,5/28/2020 13:00,google,Littleton,80129,Replace baseboards,5740,4650,1090,5740,,approved,2,,
9713,5/27/2020 12:00,Referral,Littleton,80120,Exterior Residential Painting - Exterior Preparation,5410,4370,1040,5410,,Awaiting Approval,2,,
9714,5/26/2020 16:00,,Littleton,80120,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,SCHEDULED,2,,
9737,6/1/2020 11:30,,Denver,80230,Prep and re-surface small deck above front door,220,180,40,220,My Website,approved,2,,
9715,5/29/2020 10:00,"Referral,no review,repeat customer",Parker,80138,Main Area-2 Coats,5160,4245,915,5160,,approved,1,,
9716,6/1/2020 10:00,,Denver,80238,Deck Railing Prep Work,795,575,220,795,"Stapleton,Deck Staining",approved,2,,
9717-1,,,Denver,80202, Exterior Preparation and Paint-5 Year Warranty,134760,109490,25270,134760,,Awaiting Approval,,,
9717-2,,,Denver,80202,Interior Walls and Ceilings-Finished Area,42295,35450,6845,42295,,Awaiting Approval,,,
9729-1,5/29/2020 8:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4850,4135,915,5050,My Website,approved,1,,
9755,6/1/2020 14:00,80015,Aurora,80015,Main Area-2 Coats,4905,4465,640,5105,My Website,pro approved,1,,
9726,5/29/2020 9:30,,Parker,80134,Exterior Residential Painting - Exterior Preparation,4185,3335,1070,4405,My Website,approved,1,,
9719,6/1/2020 15:00,Referral,Aurora,80015,Exterior Residential Painting - Exterior Preparation,3955,3205,950,4155,,Awaiting Approval,1,,
9721-2,5/27/2020 14:30,,Aurora,80016,Fence,670,445,225,670,,pro approved,1,,
9693-2,5/26/2020 9:00,Referral,Parker,80134,Trim,2725,2725,0,2725,,declined,1,,
9722-1,6/3/2020 10:00,Referral,Aurora,80016,Exterior Residential Painting - Exterior Preparation,3880,3185,995,4180,Customer is looking for estimate for exterior repaint. - CM,approved,1,,
9723,6/1/2020 12:00,Referral,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4370,3705,1065,4770,,approved,1,,
9750,6/4/2020 12:30,,Aurora,80014,"Walls, Trim and Doors",1325,985,340,1325,My Website,pro approved,1,,
9739,6/2/2020 12:30,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,3290,2545,995,3540,My Website,approved,1,,
9736,6/1/2020 13:30,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,3335,2605,930,3535,My Website,Awaiting Approval,1,,
9738,6/1/2020 12:30,,Parker,80138,Exterior Residential Painting - Exterior Preparation,4965,4065,1150,5215,My Website,approved,1,,
9731,6/1/2020 9:30,,Parker,80134,Exterior Residential Painting - Exterior Preparation,4280,3390,1090,4480,My Website,pro approved,1,,
9742,6/3/2020 11:30,,Littleton,80129,Exterior Residential Painting - Exterior Preparation,3440,2480,960,3440,My Website,Awaiting Approval,2,,
9735,6/1/2020 14:30,,Westminster,80021,Exterior Residential Painting - Exterior Preparation,4380,3330,1050,4380,My Website,approved,2,,
9741,6/2/2020 15:30,,Littleton,80126,Exterior Residential Painting - Exterior Preparation,4890,3850,1040,4890,My Website,approved,2,,
9746,6/3/2020 10:30,,Lakewood,80215,Exterior Residential Painting - Exterior Preparation,4110,3270,840,4110,My Website,approved,2,,
9729-2,5/29/2020 8:00,,Denver,80238,Custom Shutters,3785,3445,340,3785,,declined,1,,
9749,6/4/2020 15:30,,Lakewood,80228,Exterior Residential Painting - Exterior Preparation,5640,4260,1380,5640,My Website,Awaiting Approval,2,,
9747,6/3/2020 12:00,,Littleton,80128,Exterior Residential Painting - Exterior Preparation,5300,4280,1020,5300,My Website,Awaiting Approval,2,,
9745,6/3/2020 9:00,,Lafayette,80026,Exterior Residential Painting - Exterior Preparation,5240,4220,1020,5240,"My Website,no review,noreview",approved,2,,
9753,6/4/2020 15:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,3865,3055,1060,4115,My Website,pro approved,1,,
9730,,,Westminster,80021,Paint decorative pillars and archway to match butter cookie walls ,2075,2075,0,2075,,Awaiting Approval,2,,
9751,6/4/2020 13:30,,Parker,80134,Interior Walls and Ceilings-2Coats,4910,4230,880,5110,My Website,pro approved,1,,
9732,6/2/2020 13:00,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4155,3295,1060,4355,,Awaiting Approval,1,,
9734,6/9/2020 10:00,"BNI,Property Manager,Jim Shonts",Denver,80211,Wood Replacement and Repair,9310,9310,0,9310,,Awaiting Approval,2,,
9752,6/4/2020 14:30,,Centennial,80016,Exterior Residential Painting - Exterior Preparation,5870,4765,1105,5870,My Website,pro approved,1,,
9848-1,6/16/2020 12:30,,Lakewood,80226,Exterior Residential Painting - Exterior Preparation,2740,2320,420,2740,My Website,Awaiting Approval,2,,
9740,6/9/2020 12:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5410,4650,960,5610,,Awaiting Approval,1,,
9788,6/16/2020 8:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,3885,3140,995,4135,My Website,Awaiting Approval,1,,
9787,6/12/2020 16:00,,Aurora,80016,Master Bedroom,1135,900,235,1135,My Website,approved,1,,
9743,6/4/2020 9:30,online,Denver,80247,Exterior Residential Painting - Exterior Preparation,3850,2855,995,3850,,Awaiting Approval,1,,
9744,6/9/2020 14:00,Referral,Denver,80238,Exterior Residential Painting - Exterior Preparation,4950,4235,915,5150,,approved,1,,
9722-2,6/3/2020 10:00,Referral,Aurora,80016,Deck Prep and Stain,695,615,80,695,,approved,1,,
9791,6/12/2020 12:30,,Englewood,80111,Kitchen Cabinets - Cabinet Preparation,4470,4060,410,4470,My Website,pro approved,1,,
9780,6/12/2020 14:30,,Highlands Ranch,80126,Exterior Residential Painting - Exterior Preparation,5490,4130,1360,5490,My Website,Awaiting Approval,2,,
9822,6/25/2020 10:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4845,3555,1590,5145,My Website,approved,1,,
9748,,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4980,4110,1170,5280,,approved,,,
9785,6/16/2020 15:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5890,4750,1390,6140,My Website,approved,1,,
9754,,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4925,3850,1075,4925,,pro approved,,,
9792,6/17/2020 13:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4920,4080,1040,5120,My Website,declined,1,,
9793-1,6/17/2020 12:00,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,3160,2620,840,3460,My Website,pro approved,1,,
9756,,,Timnath,80547,Exterior Residential Painting - Exterior Preparation,3985,3010,1225,4235,,approved,,,
9814,6/17/2020 17:00,,Denver,80220,Exterior Residential Painting - Exterior Preparation,5450,4305,1345,5650,My Website,Awaiting Approval,1,,
9757,6/15/2020 13:00,google,Denver,80238,Exterior Residential Painting - Exterior Preparation,4495,3675,1070,4745,,Awaiting Approval,1,,
9758,,,Denver,80221,Interior Painting - Living Room,1940,1940,0,1940,,approved,2,,
9759,,noreview,Denver,80238,Bedroom Furniture,2295,1885,410,2295,,Awaiting Approval,,,
9760,,,Denver,80238,Clean New Decking,2000,1815,185,2000,,approved,,,
9761,,,Aurora,80014,,0,0,0,0,,UNSCHEDULED,,,
9784-1,6/16/2020 14:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,3950,3140,1060,4200,My Website,approved,1,,
9762,6/11/2020 14:00,,Denver,80238,fence,0,0,0,0,,SCHEDULED,1,,
9798-1,6/16/2020 12:30,,Highlands Ranch,80126,Exterior Residential Painting - Exterior Preparation,5240,4180,1060,5240,My Website,approved,2,,
9763,,,Denver,80238,,0,0,0,0,,UNSCHEDULED,,,
9764,6/15/2020 12:00,,Littleton,80123,Interior Painting - Living Room,1280,980,300,1280,,Awaiting Approval,2,,
9797,6/17/2020 11:30,,Highlands Ranch,80126,Exterior Residential Painting - Exterior Preparation,4185,3145,1040,4185,My Website,Awaiting Approval,2,,
9765,6/16/2020 10:30,,Lafayette,80026,Exterior Residential Painting - Exterior Preparation,1740,1470,370,1840,,approved,2,,
9766-1,,,Littleton,80120,Kitchen,2240,2240,0,2240,,Awaiting Approval,2,,
9767,,,Littleton,80129,Paint Kitchen Walls,6340,6340,0,6340,,Awaiting Approval,,,
9768,,,Littleton,80130,Exterior Residential Painting - Exterior Preparation,5430,4330,1100,5430,,Awaiting Approval,,,
9769,6/16/2020 13:00,,Littleton,80128,Exterior Residential Painting - Exterior Preparation,4620,3650,970,4620,,approved,2,,
9770,,Facebook,Littleton,80126,Re-finish front door,320,280,40,320,,Awaiting Approval,,,
9771,6/15/2020 14:00,,Broomfield,80023,Exterior Residential Painting - Exterior Preparation,16470,12770,3700,16470,Commercial business,Awaiting Approval,2,,
9823,6/25/2020 17:00,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,3890,3115,1025,4140,My Website,pro declined,1,,
9766-2,,,Littleton,80120,Kitchen,9500,9500,0,9500,,Awaiting Approval,,,
9773-1,6/17/2020 13:30,,Denver,80238,Breakfast Bar,2125,1855,270,2125,,Awaiting Approval,1,,
9774,,,Centennial,80111,Paint first smaller bedroom,1340,1050,290,1340,,declined,,,
9775,,"no review,noreview",Lone Tree,80124,Siding replacement and painting,520,480,40,520,,approved,2,,
9776,,,Centennial,80112,Repair drywall and paint Master Bedroom walls and ceiling,1870,1360,510,1870,,Awaiting Approval,,,
9790-1,6/17/2020 17:00,,Littleton,80126,Paint Kitchen Walls,5400,5400,0,5400,My Website,Awaiting Approval,2,,
9777,6/18/2020 14:00,Referral,Aurora,80013,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,SCHEDULED,1,,
9794,6/18/2020 13:30,no review,Aurora,80016,Interior Main Area,3570,3060,710,3770,My Website,approved,1,,
9779,6/17/2020 12:00,Facebook,Littleton,80128,Exterior Residential Painting - Exterior Preparation,4420,3200,1220,4420,,approved,2,,
9781,6/16/2020 11:30,Referral,Denver,80231,Exterior Residential Painting - Exterior Preparation,4875,4135,1090,5225,,pro approved,1,,
9782,6/17/2020 14:30,,Denver,80205,Interior Painting-Walls and Ceilings,6860,5945,915,6860,,approved,1,,
9795,6/18/2020 8:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4425,3565,1060,4625,My Website,Awaiting Approval,1,,
9783,,"BNI,Property Manager,Jim Shonts",Lakeland,33813,,0,0,0,0,,UNSCHEDULED,,,
9784-2,6/16/2020 14:30,,Aurora,80016,Interior Walls-2 Coats,2980,2440,715,3155,,declined,1,,
9815,6/23/2020 17:00,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4300,3410,1090,4500,My Website,Awaiting Approval,1,,
9786-1,6/25/2020 10:30,no review,,,KItchen Cabinets - Cabinet Preparation,3655,3130,525,3655,,pro approved,1,,
9789,6/22/2020 13:00,Referral,Aurora,80012,Living Room and Dining Room,785,635,150,785,,Awaiting Approval,1,,
9790-2,6/17/2020 17:00,,Littleton,80126,Cabinets - Cabinet Preparation,3120,2940,180,3120,,Awaiting Approval,2,,
9790-3,6/17/2020 17:00,,Littleton,80126,Paint Basement Main Room Walls,1220,930,290,1220,,Awaiting Approval,2,,
9793-2,6/17/2020 12:00,,Centennial,80015,Master Restroom,1115,1115,0,1115,,pro approved,1,,
9796,6/25/2020 14:00,Nextdoor,Parker,80134,Exterior Residential Painting - Exterior Preparation,4480,3625,1105,4730,,Awaiting Approval,1,,
9798-2,6/16/2020 12:30,,Highlands Ranch,80126,Wood replacement and repair,1930,1600,330,1930,,Awaiting Approval,2,,
9800,6/23/2020 11:00,Referral,Parker,80134,Exterior Residential Painting - Exterior Preparation,4385,3505,1080,4585,,pro approved,1,,
9801,6/24/2020 14:00,,Denver,80220,"Painting quotes - Free Cabinet Painting Estimate: (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,SCHEDULED,1,,
9802,6/24/2020 14:00,,Littleton,80123,"Painting quotes - Free interior consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,SCHEDULED,2,,
9803,6/24/2020 15:30,,Aurora,80015,Wrought Iron Fence Prep,4870,4090,780,4870,,approved,1,,
9804-1,6/25/2020 12:00,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5885,4215,1910,6125,,approved,1,,
9805,6/25/2020 15:00,,Aurora,80014,Upstairs Bedrooms and Restroom,1585,1250,335,1585,,Awaiting Approval,1,,
